,ID,Salary,DOJ,Gender,DOB,10percentage,12graduation,12percentage,12board,CollegeID,Degree,Specialization,collegeGPA,CollegeCityID,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
13,431800,200000,01-01-2014 00:00,m,23-10-1990 00:00,60.8,2008,62.4,cbse,5232,B.Tech/B.E.,EC,60.0,5232,2012,495,425,645,0.538386893,385,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354
14,1279958,300000,01-07-2013 00:00,m,02-07-1992 00:00,81.2,2008,79.9,state board,64,B.Tech/B.E.,EC,67.67,64,2013,395,565,645,-1.0,495,376,0.7027,0.7119,0.01,-0.995,0.6721
15,536517,350000,01-08-2013 00:00,f,17-01-1990 00:00,69.54,2008,64.43,state board,4501,B.Tech/B.E.,CS,63.0,4501,2012,485,520,355,0.308400583,355,-1,1.7465,1.9048,0.672,-0.2902,1.2528
16,1087625,325000,01-09-2014 00:00,m,10-06-1992 00:00,85.8,2010,74.8,cbse,13473,B.Tech/B.E.,EC,64.8,13473,2014,685,530,620,-1.0,515,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608
17,874596,250000,01-08-2013 00:00,m,28-09-1987 00:00,60.8,2006,66.66,cbse,41,MCA,CS,74.74,41,2013,465,585,515,0.911395278,545,500,0.8463,1.0449,-1.0659,-1.6289,0.6721
18,711342,120000,01-01-2014 00:00,m,07-12-1992 00:00,65.0,2008,64.8,icse,184,B.Tech/B.E.,CS,69.54,184,2013,465,495,515,0.563267824,425,-1,-0.159,0.3789,1.3933,-0.2344,1.4386
19,466888,325000,01-09-2014 00:00,f,30-11-1990 00:00,79.0,2008,62.2,cbse,7977,B.Tech/B.E.,CS,76.3,7977,2012,485,445,435,0.864685413,525,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295
20,140069,320000,01-11-2010 00:00,f,25-07-1988 00:00,91.2,2006,84.63,state board,4437,B.Tech/B.E.,CS,78.15,4437,2010,455,535,445,0.635978756,445,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444
21,339689,200000,01-08-2012 00:00,f,20-08-1991 00:00,75.67,2007,74.4,state board,11368,B.Tech/B.E.,CS,74.01,11368,2012,385,555,445,0.635978756,445,-1,-1.0355,-0.5913,-1.3599,0.06223,-1.3539
22,995191,190000,01-10-2013 00:00,m,23-01-1992 00:00,92.5,2009,95.2,state board,8232,B.Tech/B.E.,EC,76.0,8232,2013,395,455,485,-1.0,455,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769
23,990077,180000,01-08-2014 00:00,m,30-07-1986 00:00,70.0,2006,43.42,state board,11388,B.Tech/B.E.,EC,55.52,11388,2014,370,360,270,0.649389715,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763
24,963123,335000,01-06-2014 00:00,m,28-06-1993 00:00,88.0,2010,90.0,state board,9173,B.Tech/B.E.,CS,76.0,9173,2014,625,555,630,0.356536488,475,346,0.4155,0.8027,0.1357,-0.995,-0.6692
25,350211,435000,01-09-2012 00:00,f,02-03-1991 00:00,86.8,2008,82.8,cbse,9019,B.Tech/B.E.,CS,78.0,9019,2012,575,585,575,0.744758354,565,438,0.0464,1.2028,-0.9245,0.5323,-0.2875
26,65096,345000,01-01-2011 00:00,m,05-02-1988 00:00,90.88,2006,82.5,state board,124,B.Tech/B.E.,CS,66.15,124,2010,415,335,405,0.884122512,535,-1,0.8192,0.1888,-1.7954,1.8249,1.1343
27,810458,300000,01-09-2014 00:00,m,01-02-1993 00:00,76.8,2009,83.0,state board,64,B.Tech/B.E.,EC,76.44,64,2014,535,510,605,0.88162007,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692
28,918981,145000,01-02-2015 00:00,m,20-01-1994 00:00,84.0,2011,68.0,cbse,76,B.Tech/B.E.,EC,72.0,76,2015,580,570,385,0.20739217,335,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943
29,472956,220000,01-11-2014 00:00,m,11-06-1992 00:00,64.0,2010,74.0,cbse,57,B.Tech/B.E.,CS,68.0,57,2014,485,375,435,0.486747008,345,376,-3.1994,-1.8393,0.0552,0.0623,-0.7615
30,192703,530000,01-12-2011 00:00,m,04-10-1989 00:00,84.0,2007,92.0,state board,5003,B.Tech/B.E.,CS,77.2,5003,2011,475,405,695,0.670743151,455,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
31,1094324,340000,01-08-2014 00:00,m,23-10-1992 00:00,77.2,2010,86.1,state board,7282,B.Tech/B.E.,CS,71.0,7282,2014,560,485,450,0.622642916,485,407,-0.0154,1.2114,1.0859,-1.5021,0.2889
32,580616,360000,01-10-2013 00:00,f,14-09-1991 00:00,87.0,2009,84.4,cbse,8195,B.Tech/B.E.,CS,79.3,8195,2013,570,475,295,0.413838256,385,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
33,1208010,145000,01-10-2014 00:00,m,07-01-1992 00:00,73.0,2010,68.4,state board,8297,B.Tech/B.E.,CS,74.3,8297,2014,560,530,605,0.911395278,445,500,-0.7335,0.5454,-0.7585,-0.6147,1.4386
34,1073190,215000,01-01-2015 00:00,f,30-08-1989 00:00,71.0,2009,68.0,icse,7869,B.Tech/B.E.,CS,70.86,7869,2013,430,510,405,0.356536488,465,346,1.5644,1.0449,0.3174,-1.8824,1.0554
35,942679,350000,01-03-2014 00:00,f,15-09-1990 00:00,85.0,2008,61.0,cbse,272,B.Tech/B.E.,EC,64.98,272,2011,570,475,430,-1.0,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224
36,602377,270000,01-03-2013 00:00,f,21-08-1992 00:00,91.5,2009,93.8,state board,11509,B.Tech/B.E.,CS,74.1,11509,2013,380,535,530,0.525922584,415,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943
37,922508,80000,01-10-2010 00:00,m,13-02-1993 00:00,77.0,2010,85.4,cbse,272,B.Tech/B.E.,EC,63.9,272,2014,475,605,415,0.649389715,435,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776
38,550371,330000,01-01-2014 00:00,m,02-10-1991 00:00,52.33,2007,67.0,state board,44,MCA,CS,77.15,44,2013,450,525,545,0.735795709,475,-1,-0.0154,1.2114,0.6248,0.7798,0.8637
39,533417,200000,01-01-2013 00:00,m,28-02-1991 00:00,88.0,2008,89.66,state board,867,B.Tech/B.E.,EC,76.4,867,2012,510,640,635,0.124502074,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455
40,245887,120000,01-06-2011 00:00,m,04-05-1989 00:00,66.6,2007,68.6,state board,105,B.Tech/B.E.,ME,60.22,105,2011,425,595,475,0.130441736,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603
41,955678,145000,01-07-2014 00:00,m,21-04-1992 00:00,75.0,2009,60.0,cbse,105,B.Tech/B.E.,CS,66.0,105,2014,380,545,460,0.356536488,395,346,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356
42,895673,350000,01-08-2014 00:00,m,11-12-1991 00:00,91.4,2010,73.0,cbse,119,B.Tech/B.E.,CS,71.0,119,2014,555,560,825,0.23780284,525,315,-0.0154,0.2578,-0.5349,-1.1218,-1.359
43,1207660,120000,01-04-2014 00:00,m,05-07-1993 00:00,59.0,2010,87.7,state board,16150,B.Tech/B.E.,EC,71.04,16150,2014,300,340,355,0.112139438,155,-1,-0.0154,-2.4516,-0.4511,0.2727,-3.1602
44,247617,380000,01-05-2012 00:00,f,06-01-1989 00:00,84.5,2007,82.5,state board,3461,B.Tech/B.E.,CS,92.1,3461,2011,425,525,515,0.377551419,375,-1,0.51,0.6568,-0.6343,0.2973,0.1864
45,1230582,110000,01-09-2014 00:00,m,12-10-1992 00:00,95.8,2010,87.16,state board,482,B.Tech/B.E.,ME,79.0,482,2014,430,395,500,0.066960707,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356
46,592833,205000,01-07-2013 00:00,f,24-09-1991 00:00,85.6,2008,82.0,cbse,13094,B.Tech/B.E.,CS,74.01,13094,2012,370,495,455,0.080055281,445,253,0.1282,0.5454,0.1637,-0.4879,0.8637
47,434621,95000,01-10-2012 00:00,m,01-02-1992 00:00,69.6,2008,71.4,state board,3054,B.Tech/B.E.,CS,77.0,3054,2012,485,415,575,0.925645767,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864
48,338428,390000,01-09-2013 00:00,m,28-02-1991 00:00,86.6,2009,75.0,cbse,11637,B.Tech/B.E.,CS,74.0,11637,2013,505,545,565,0.356536488,475,346,-2.5039,0.0328,0.3817,0.26793,0.5024
49,305559,270000,01-05-2012 00:00,m,27-03-1989 00:00,81.92,2007,61.46,state board,1109,B.Tech/B.E.,CS,57.54,1109,2011,565,465,415,0.843123727,515,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
50,245337,60000,01-06-2011 00:00,f,13-02-1988 00:00,66.5,2005,49.5,state board,889,MCA,CS,89.7,889,2011,505,505,485,0.916869961,555,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444
51,852310,120000,01-02-2015 00:00,m,03-11-1991 00:00,80.0,2009,72.5,state board,12867,B.Tech/B.E.,CS,57.8,12867,2013,580,485,455,0.783303537,405,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244
52,794209,400000,01-04-2015 00:00,m,09-03-1992 00:00,85.2,2010,81.5,icse,8350,B.Tech/B.E.,CS,57.64,8350,2014,545,385,485,0.600057182,435,-1,1.1336,0.3789,1.0859,0.653,0.2889
53,1082717,350000,01-09-2014 00:00,m,06-08-1991 00:00,89.25,2010,78.0,state board,2066,B.Tech/B.E.,EL,80.0,2066,2014,570,510,545,0.792936278,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356
54,764522,120000,01-11-2014 00:00,f,14-01-1992 00:00,58.4,2008,64.8,cbse,85,MCA,CS,80.0,85,2014,440,415,554,0.793580615,495,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543
55,989860,250000,01-08-2014 00:00,m,13-02-1992 00:00,90.8,2010,90.1,state board,12832,B.Tech/B.E.,CS,67.7,12832,2014,525,530,595,0.486747008,485,376,-0.3027,0.7119,-0.2974,1.1601,-0.4776
56,416752,240000,01-03-2013 00:00,f,15-07-1989 00:00,78.0,2006,70.1,cbse,166,B.Tech/B.E.,EC,68.2,166,2011,415,595,495,0.694479328,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
57,294700,525000,01-03-2012 00:00,f,15-08-1989 00:00,89.88,2007,95.4,state board,1027,B.Tech/B.E.,EC,80.8,1027,2011,555,475,635,0.694479328,-1,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875
58,1063642,200000,01-06-2013 00:00,m,27-03-1990 00:00,63.3,2008,61.1,state board,11386,B.Tech/B.E.,EC,66.9,11386,2013,420,510,665,0.112139438,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244
59,536053,120000,01-09-2009 00:00,m,30-10-1977 00:00,72.0,1995,49.0,state board,712,B.Tech/B.E.,CS,55.0,712,2011,640,460,250,0.525922584,415,-1,-0.3014,-0.4353,-0.9245,-0.349,-0.4455
60,652717,305000,01-11-2013 00:00,f,27-12-1991 00:00,83.0,2009,79.0,state board,9173,B.Tech/B.E.,CS,70.0,9173,2013,430,410,310,0.165633092,305,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943
61,940402,300000,01-10-2014 00:00,m,30-06-1993 00:00,85.3,2010,88.3,state board,434,B.Tech/B.E.,CS,85.0,434,2014,370,375,325,0.356536488,315,346,1.8517,1.5444,0.3174,0.3995,0.6721
62,1218578,145000,01-06-2014 00:00,f,02-03-1991 00:00,81.0,2009,77.8,cbse,11942,B.Tech/B.E.,EC,65.35,11942,2014,535,510,390,0.20739217,-1,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608
63,636871,150000,01-10-2014 00:00,m,10-01-1992 00:00,60.66,2008,62.4,state board,9738,B.Tech/B.E.,ME,69.3,9738,2013,370,410,470,0.755375121,315,-1,-2.2351,-2.6847,-2.6028,0.3995,-5.477
64,31330,600000,01-07-2010 00:00,m,29-05-1986 00:00,78.0,2004,83.0,cbse,2,B.Tech/B.E.,CS,72.13,2,2010,444,555,695,0.999904558,804,-1,0.6646,0.3448,0.8171,0.6498,0.0284
65,1044453,310000,01-02-2014 00:00,m,02-12-1990 00:00,89.37,2009,79.0,state board,2085,B.Tech/B.E.,EC,70.0,2085,2013,630,580,510,0.338786347,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247
66,125529,455000,01-01-2011 00:00,m,29-08-1989 00:00,90.0,2006,94.4,state board,1396,B.Tech/B.E.,EC,76.12,1396,2010,505,525,595,0.124502074,615,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295
67,810433,400000,01-08-2014 00:00,f,05-08-1991 00:00,81.0,2010,79.0,icse,64,B.Tech/B.E.,EC,71.5,64,2014,510,500,575,0.493596387,455,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189
68,86373,150000,01-07-2010 00:00,f,18-03-1989 00:00,78.0,2006,86.67,state board,4173,B.Tech/B.E.,EC,77.55,4173,2010,535,465,535,0.910770164,445,-1,-0.881,1.4368,0.3817,-0.4078,-0.1295
69,1237891,250000,01-06-2015 00:00,m,15-01-1993 00:00,84.4,2011,73.2,cbse,272,B.Tech/B.E.,CS,70.0,272,2015,570,410,535,0.670743151,455,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859
70,801755,320000,01-03-2014 00:00,m,12-12-1992 00:00,89.0,2009,92.0,state board,14382,B.Tech/B.E.,EL,76.4,14382,2013,625,645,605,0.982057124,385,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937
71,1089599,250000,01-05-2014 00:00,m,03-12-1990 00:00,86.0,2008,64.0,state board,9564,B.Tech/B.E.,CS,61.17,9564,2013,665,545,415,0.911395278,405,500,1.1336,1.3779,2.1617,-0.995,1.0554
72,1230478,200000,01-06-2014 00:00,m,21-12-1992 00:00,85.0,2010,75.0,cbse,319,B.Tech/B.E.,CS,60.0,319,2014,675,480,500,0.842248322,425,469,1.1336,1.0449,0.1637,-1.2486,0.0973
73,982400,240000,01-06-2014 00:00,m,06-07-1992 00:00,75.0,2009,64.0,cbse,184,B.Tech/B.E.,CS,67.0,184,2014,510,480,485,-1.0,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692
74,1225896,120000,01-04-2015 00:00,f,10-08-1991 00:00,86.0,2009,77.0,state board,4973,B.Tech/B.E.,CS,75.0,4973,2013,325,510,295,0.018540942,415,192,0.1282,0.0459,0.1637,0.0192,-0.0943
75,1067148,300000,01-09-2014 00:00,m,03-09-1992 00:00,70.6,2010,78.67,state board,182,B.Tech/B.E.,EC,75.84,182,2014,580,485,510,0.053160305,285,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608
77,754392,120000,01-07-2014 00:00,m,18-02-1992 00:00,76.0,2009,72.0,state board,8888,B.Tech/B.E.,CS,63.2,8888,2013,510,355,340,0.123016732,285,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776
78,1168608,325000,01-12-2014 00:00,f,05-05-1993 00:00,86.4,2010,78.2,cbse,6982,B.Tech/B.E.,EC,73.5,6982,2014,535,435,440,0.20739217,355,530,0.8463,1.3779,1.3933,0.653,-0.2859
79,1089852,100000,01-08-2013 00:00,f,17-05-1992 00:00,86.0,2009,95.0,state board,4726,B.Tech/B.E.,EC,78.6,4726,2013,405,545,450,0.649389715,375,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
80,1098869,300000,01-08-2014 00:00,m,26-09-1992 00:00,84.83,2010,82.4,cbse,903,B.Tech/B.E.,CS,74.14,903,2014,665,595,705,0.744758354,505,438,-0.4463,0.2124,0.3174,-1.5021,-0.2859
81,661546,280000,01-10-2014 00:00,m,05-07-1990 00:00,72.3,2008,60.2,cbse,8546,B.Tech/B.E.,EC,69.38,8546,2013,555,475,415,0.694479328,-1,-1,1.4208,0.5454,-0.2974,1.0333,-0.6692
82,87067,215000,01-10-2014 00:00,f,15-03-1987 00:00,69.0,2005,62.6,cbse,5605,B.Tech/B.E.,EL,76.25,5605,2010,395,455,475,0.694479328,195,-1,-0.4173,0.1888,-0.4891,0.4148,0.8183
83,836060,145000,01-06-2014 00:00,m,23-11-1993 00:00,80.0,2010,70.0,state board,9699,B.Tech/B.E.,EC,55.0,9699,2014,430,450,385,-1.0,-1,-1,0.1282,-0.1206,0.9322,1.5404,0.0973
84,58674,445000,01-11-2011 00:00,f,10-05-1987 00:00,73.33,2004,71.33,state board,331,MCA,CS,61.0,331,2010,375,535,534,0.600057182,435,-1,-2.272,-0.2793,-1.2148,0.8848,-0.7615
85,1255801,315000,01-07-2015 00:00,m,18-08-1993 00:00,86.16,2011,70.08,cbse,7376,B.Tech/B.E.,EC,63.13,7376,2015,455,595,500,0.20739217,225,-1,0.99,1.0449,1.7007,-2.0092,0.2889
86,662008,100000,01-10-2013 00:00,f,13-11-1987 00:00,75.0,2010,78.0,state board,12992,B.Tech/B.E.,CS,71.1,12992,2013,415,440,355,0.488347977,405,-1,0.8463,1.3779,1.0859,-0.995,1.247
87,1245234,200000,01-01-2015 00:00,m,01-05-1992 00:00,56.0,2009,56.0,state board,51,MCA,CS,62.0,51,2015,605,470,355,0.843123727,515,-1,0.7027,0.8784,0.3174,-1.1218,0.4805
88,1259641,220000,01-10-2014 00:00,f,21-02-1992 00:00,87.0,2008,60.0,cbse,973,B.Tech/B.E.,CS,70.82,973,2013,640,605,400,0.842248322,425,469,0.8463,1.2114,1.2396,-0.1076,1.247
89,525290,370000,01-03-2013 00:00,m,01-01-1991 00:00,79.25,2008,80.0,state board,6814,B.Tech/B.E.,CS,79.9,6814,2012,545,580,430,0.635978756,445,-1,0.8192,1.0858,-0.4891,-0.7603,-0.1295
90,324269,145000,01-05-2013 00:00,m,31-05-1991 00:00,88.66,2008,84.33,state board,7236,B.Tech/B.E.,EC,60.0,7236,2012,495,565,575,0.376059587,335,-1,1.2828,1.7878,1.1437,-0.6428,0.5024
91,1151485,275000,01-04-2014 00:00,m,03-06-1991 00:00,80.8,2009,75.0,state board,6836,B.Tech/B.E.,EC,77.38,6836,2013,405,470,370,-1.0,475,500,1.4208,-0.7866,-0.1437,-1.5021,-0.4776
93,1274522,325000,01-10-2014 00:00,m,31-03-1992 00:00,70.0,2010,65.0,cbse,1139,B.Tech/B.E.,CS,66.0,1139,2014,405,470,545,-1.0,-1,-1,0.4155,0.3789,-0.9122,-1.1218,-0.8608
94,843467,275000,01-07-2013 00:00,m,16-08-1990 00:00,81.16,2008,68.5,icse,1087,B.Tech/B.E.,EC,61.5,1087,2013,605,520,325,0.338786347,455,-1,1.4208,1.2114,0.6248,-0.995,-0.2859
95,318391,425000,01-06-2012 00:00,f,10-08-1990 00:00,83.5,2008,94.2,state board,5071,B.Tech/B.E.,CS,88.2,5071,2012,515,475,445,0.670743151,455,-1,0.6646,1.4368,-0.0537,0.88483,0.5024
96,60260,450000,01-04-2011 00:00,m,25-03-1988 00:00,65.0,2006,66.0,state board,501,B.Tech/B.E.,CS,64.0,501,2010,515,565,554,0.600057182,435,-1,-0.7264,0.1888,-1.2148,-0.5253,1.1343
97,1026621,300000,01-09-2014 00:00,f,30-04-1992 00:00,88.0,2010,88.0,state board,9282,B.Tech/B.E.,CS,70.12,9282,2014,710,605,605,0.744758354,405,438,0.5591,1.2114,1.8543,0.1459,0.0973
98,112994,470000,01-03-2011 00:00,m,10-10-1988 00:00,79.0,2006,76.6,cbse,996,B.Tech/B.E.,CS,77.85,996,2010,635,495,495,0.670743151,455,-1,0.8192,-0.5913,0.2366,-0.7603,-0.1295
99,1123186,120000,01-05-2014 00:00,m,30-06-1988 00:00,55.6,2005,50.8,state board,12992,MCA,CS,80.03,12992,2014,440,425,370,0.23780284,415,315,-0.0154,0.8784,1.2396,1.2869,0.8637
100,1085716,300000,01-03-2014 00:00,m,20-11-1992 00:00,75.0,2008,72.0,state board,7738,B.Tech/B.E.,CS,80.0,7738,2013,475,470,415,0.911395278,595,500,0.8463,1.0449,1.3933,-1.6289,-0.2859
101,43693,205000,01-12-2011 00:00,m,05-03-1989 00:00,84.6,2006,66.5,state board,417,B.Tech/B.E.,EC,66.7,417,2010,345,255,395,0.0587928,195,-1,-0.1082,0.0328,-0.1988,0.2973,-0.7615
102,836781,310000,01-06-2013 00:00,m,26-11-1989 00:00,79.0,2008,76.4,state board,11583,B.Tech/B.E.,EC,65.0,11583,2012,605,510,515,-1.0,345,346,1.7081,0.8784,1.547,-1.6289,-0.0943
103,682615,300000,01-09-2014 00:00,f,06-03-1991 00:00,62.0,2012,61.0,cbse,2637,B.Tech/B.E.,CS,70.0,2637,2013,250,305,385,0.10487136,275,-1,-0.5116,0.8229,0.8809,0.0192,1.6302
104,773975,460000,01-06-2013 00:00,m,08-04-1990 00:00,62.0,2007,61.0,state board,272,M.Tech./M.E.,CS,63.0,272,2013,465,595,605,0.793580615,495,-1,-1.1644,-1.6191,-1.2196,-0.1076,-2.2021
105,1190941,320000,01-03-2015 00:00,m,13-08-1993 00:00,86.0,2010,92.0,state board,1947,B.Tech/B.E.,EC,72.0,1947,2014,350,590,570,0.493596387,415,-1,0.8463,0.0459,-0.2974,-0.7415,-0.4776
106,957046,340000,01-12-2014 00:00,f,14-08-1993 00:00,85.8,2010,65.8,cbse,7627,B.Tech/B.E.,CS,69.7,7627,2014,615,630,750,0.622642916,485,407,0.8463,1.0449,0.01,-0.2344,0.4805
107,1074693,120000,01-05-2014 00:00,m,15-08-1992 00:00,68.4,2008,61.0,state board,982,B.Tech/B.E.,CS,62.2,982,2013,440,375,330,0.23780284,455,315,-1.7389,-1.2861,-0.4511,0.7798,-1.8189
108,30122,100000,01-07-2011 00:00,m,20-07-1985 00:00,51.0,2004,48.0,state board,350,MCA,CS,59.0,350,2010,275,365,395,0.525922584,415,-1,0.2009,-0.2793,0.2366,1.4724,0.0284
109,985092,510000,01-09-2014 00:00,m,01-09-1991 00:00,79.6,2009,73.2,cbse,4948,B.Tech/B.E.,EC,66.96,4948,2014,535,640,630,0.338786347,-1,-1,-1.1644,0.2124,0.3174,0.9066,-0.4776
110,1059903,300000,01-07-2012 00:00,m,08-12-1989 00:00,63.4,2008,63.0,state board,6595,B.Tech/B.E.,EC,69.3,6595,2012,360,350,320,0.600643959,-1,-1,-0.4463,-1.1196,-1.6807,-0.4879,-1.244
111,246607,480000,01-10-2011 00:00,m,06-12-1989 00:00,86.53,2007,71.55,state board,6570,B.Tech/B.E.,CS,78.5,6570,2011,515,505,454,0.704090412,465,-1,-0.1082,0.9688,0.8171,-0.8778,0.3444
112,295383,170000,01-11-2011 00:00,f,10-04-1989 00:00,76.18,2007,86.33,state board,1034,B.Tech/B.E.,CS,73.46,1034,2011,485,545,385,0.635978756,445,-1,0.3555,1.2808,0.2366,1.3549,1.2923
113,1087220,340000,01-01-2015 00:00,m,18-04-1991 00:00,91.43,2009,74.0,cbse,5666,B.Tech/B.E.,CS,70.0,5666,2016,665,460,570,0.144789889,445,284,0.4155,0.3789,-0.1437,-0.7415,-0.2859
114,50876,640000,01-04-2010 00:00,m,24-04-1987 00:00,78.0,2004,71.3,state board,5400,B.Tech/B.E.,CS,67.0,5400,2009,455,605,625,0.916869961,555,-1,-0.2628,-0.5913,0.2366,-0.1727,0.8183
115,815219,330000,01-12-2013 00:00,m,13-01-1992 00:00,76.17,2009,72.0,cbse,10991,B.Tech/B.E.,CS,78.0,10991,2013,510,535,605,0.81941653,505,-1,0.4155,-0.7866,-1.2196,1.1601,-1.8189
116,794194,225000,01-07-2014 00:00,m,25-12-1990 00:00,82.4,2010,72.0,cbse,8350,B.Tech/B.E.,EC,64.06,8350,2014,485,525,545,0.338786347,-1,-1,-0.0154,0.3789,0.6248,0.9066,0.6721
117,261236,180000,01-01-2011 00:00,m,06-07-1985 00:00,58.0,2004,57.6,state board,6874,B.Tech/B.E.,CS,61.9,6874,2011,265,375,365,0.165633092,305,-1,0.8192,0.8128,-0.1988,0.1798,-0.2875
118,354011,440000,01-10-2012 00:00,f,28-09-1990 00:00,79.0,2007,83.4,cbse,8286,B.Tech/B.E.,EC,72.7,8286,2012,535,485,525,0.376059587,-1,-1,0.3555,0.6178,0.7083,0.2973,-0.2875
119,407824,305000,01-01-2014 00:00,f,15-09-1990 00:00,90.04,2008,75.16,state board,3801,B.Tech/B.E.,EC,77.0,3801,2012,505,495,615,0.538386893,475,-1,-0.0696,0.0328,-0.1988,0.0035,-0.9194
